"","Species","Haglof_Plot_ID","Haglof_ID","Site","Tag","Health_status","Date","Notes","PlotID","Tree_Dia","Latitude","Longitude","dbh","component","a","b","se","source","ref","leaf.mass","genus","sla","lai","fate"
"52","POGR",109,3454,"UMBS","3454","L","2019-06-10","","D01",181,45.5613505,-84.7062848,18.1,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",1.96147384735553,"Populus",15.89,31.1678194344794,"live"
"53","ACRU",103,4,"UMBS","1WA3","L","2019-06-09","0004 on Haglof; shares base with 3374","D01",120,45.5616108,-84.7077113,12,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.71256849655241,"Acer",19,32.5388014344958,"live"
"54","QURU",101,3359,"UMBS","3359","L","2019-06-09","","D01",152,45.5616492,-84.707866,15.2,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.51665485058685,"Quercus",14.2,35.7364988783333,"live"
"55","FAGR",108,3434,"UMBS","3434","L","2019-06-10","","D01",103,45.5613941,-84.7067622,10.3,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.04372106432067,"Fagus",35,36.5302372512235,"live"
"56","ACRU",102,3354,"UMBS","3354","L","2019-06-09","Two stems from single base; only 1 >8cm","D01",131,45.5617121,-84.7080166,13.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.96022817481107,"Acer",19,37.2443353214103,"live"
"57","ACRU",103,3375,"UMBS","3375","L","2019-06-09","","D01",132,45.5616461,-84.7077515,13.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.98331951817638,"Acer",19,37.6830708453512,"live"
"58","FAGR",109,3460,"UMBS","3460","L","2019-06-10","shares base with 3461","D01",106,45.5612504,-84.7063639,10.6,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.09373490736316,"Fagus",35,38.2807217577107,"live"
"59","ACRU",104,3406,"UMBS","3406","L","2019-06-09","","D01",138,45.5613495,-84.7072162,13.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.12384405361475,"Acer",19,40.3530370186802,"live"
"60","ACRU",101,3365,"UMBS","3365","L","2019-06-09","","D01",142,45.561636,-84.7078115,14.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.21938620442652,"Acer",19,42.1683378841038,"live"
"61","ACRU",104,3390,"UMBS","3390","D","2019-06-09","snag; some bark left, think it’s an acru","D01",142,45.5615617,-84.7074597,14.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.21938620442652,"Acer",19,42.1683378841038,"live"
"62","BEPA",103,3373,"UMBS","3373","L","2019-06-09","share base with 3371 & 3372","D01",133,45.5616321,-84.7077265,13.3,"FL",0.0132,1.9505,NA,"Upper Great Lakes","Perala and Alban, 1994",2.05421812546211,"Betula",20.82,42.7688213721212,"live"
"63","ACRU",131,3397,"UMBS","3397","L","2019-06-14","crown dead; in a new plot on 6/14","D01",144,45.5614619,-84.7073134,14.4,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.26770767350101,"Acer",19,43.0864457965191,"live"
"64","ACRU",104,3402,"UMBS","3402","L","2019-06-09","shares base with 3403","D01",148,45.5614031,-84.7072521,14.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.36543965678065,"Acer",19,44.9433534788323,"live"
"65","FAGR",101,3352,"UMBS","3352","L","2019-06-09","multiple stems from base; shares with 3351","D01",118,45.5617949,-84.7077628,11.8,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.302702232864,"Fagus",35,45.5945781502399,"live"
"66","ACRU",104,3394,"UMBS","3394","L","2019-06-09","shares base with 3395","D01",153,45.5614536,-84.707468,15.3,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.48962327388348,"Acer",19,47.3028422037861,"live"
"67","FAGR",103,3378,"UMBS","3378","L","2019-06-09","","D01",124,45.5615832,-84.7077533,12.4,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.41241166056141,"Fagus",35,49.4344081196495,"live"
"68","POGR",109,16,"UMBS","1EP1","L","2019-06-10","0016 on Haglof","D01",222,45.5613274,-84.7064087,22.2,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",3.12116537973442,"Populus",15.89,49.5953178839799,"live"
"69","ACRU",103,3374,"UMBS","3374","L","2019-06-09","Shares base with 1WA3 and a small third stem","D01",166,45.5616117,-84.7077204,16.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.8227686625248,"Acer",19,53.6326045879712,"live"
"70","ACRU",104,3395,"UMBS","3395","L","2019-06-09","shares base with 3394","D01",166,45.5614537,-84.7074741,16.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.8227686625248,"Acer",19,53.6326045879712,"live"
"71","ACRU",103,3384,"UMBS","3384","L","2019-06-09","shares base with 3385","D01",168,45.5615463,-84.7076423,16.8,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.8753129851897,"Acer",19,54.6309467186042,"live"
"72","FAGR",103,3369,"UMBS","3369","L","2019-06-09","2 stems; shares base with 3368","D01",133,45.5616118,-84.7077973,13.3,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.58332930983956,"Fagus",35,55.4165258443847,"live"
"73","ACRU",101,3348,"UMBS","3348","L","2019-06-09","","D01",170,45.5618184,-84.7077874,17,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.92819618671585,"Acer",19,55.6357275476012,"live"
"74","POGR",101,3353,"UMBS","3353","D","2019-06-09","","D01",234,45.5617738,-84.707736,23.4,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",3.51827546522409,"Populus",15.89,55.9053971424108,"live"
"75","ACRU",103,3379,"UMBS","3379","L","2019-06-09","shares base with 3380","D01",171,45.5615482,-84.7077148,17.1,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.95476429086225,"Acer",19,56.1405215263827,"live"
"76","POGR",109,3457,"UMBS","3457","L","2019-06-10","","D01",240,45.5612639,-84.7063581,24,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",3.72687081537202,"Populus",15.89,59.2199772562615,"live"
"77","POGR",103,3386,"UMBS","3386","D","2019-06-09","","D01",241,45.5615479,-84.707592,24.1,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",3.76229231980647,"Populus",15.89,59.7828249617248,"live"
"78","ACRU",104,3405,"UMBS","3405","L","2019-06-09","","D01",184,45.5613525,-84.7072232,18.4,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.30771649674479,"Acer",19,62.846613438151,"live"
"79","QURU",104,3411,"UMBS","3411","L","2019-06-09","shares base with 3410","D01",228,45.5613276,-84.7072164,22.8,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.53979706515038,"Quercus",14.2,64.4651183251354,"live"
"80","FAGR",109,3461,"UMBS","3461","L","2019-06-10","shares base with 3460","D01",148,45.5612468,-84.7063605,14.8,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.88466252755812,"Fagus",35,65.9631884645344,"live"
"81","ACRU",101,3349,"UMBS","3349","L","2019-06-09","","D01",192,45.5618197,-84.7077836,19.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.53177252758627,"Acer",19,67.1036780241391,"live"
"82","QURU",104,3404,"UMBS","3404","L","2019-06-09","","D01",247,45.5613815,-84.7072309,24.7,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.10052997711744,"Quercus",14.2,72.4275256750676,"live"
"83","QURU",101,3362,"UMBS","3362","L","2019-06-09","","D01",247,45.5616653,-84.7078587,24.7,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.10052997711744,"Quercus",14.2,72.4275256750676,"live"
"84","POGR",103,3377,"UMBS","3377","D","2019-06-09","","D01",265,45.5615746,-84.707714,26.5,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.66926075037109,"Populus",15.89,74.1945533233967,"live"
"85","POGR",101,3363,"UMBS","3363","L","2019-06-09","","D01",267,45.5616907,-84.7078258,26.7,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.749817068106,"Populus",15.89,75.4745932122043,"live"
"86","QURU",104,3388,"UMBS","3388","L","2019-06-09","Shares base with 3389","D01",255,45.5614905,-84.7075132,25.5,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.34265585161973,"Quercus",14.2,75.8657130930002,"live"
"87","POGR",109,3456,"UMBS","3456","L","2019-06-10","","D01",270,45.5612684,-84.7063772,27,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.87210150323545,"Populus",15.89,77.4176928864113,"live"
"88","QURU",101,3361,"UMBS","3361","L","2019-06-09","","D01",260,45.5616827,-84.7078654,26,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.49575620189649,"Quercus",14.2,78.0397380669301,"live"
"89","FAGR",101,3366,"UMBS","3366","L","2019-06-09","2 stems; only 1 >8cm","D01",165,45.5616316,-84.7077967,16.5,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",2.2501941706993,"Fagus",35,78.7567959744756,"live"
"90","POGR",108,12,"UMBS","1EP3","L","2019-06-10","0012 on Haglof","D01",273,45.5613517,-84.706591,27.3,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.99613064335683,"Populus",15.89,79.38851592294,"live"
"91","QURU",104,3401,"UMBS","3401","L","2019-06-09","","D01",271,45.5614403,-84.707257,27.1,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.83729384067848,"Quercus",14.2,82.8895725376344,"live"
"92","POGR",103,3376,"UMBS","3376","D","2019-06-09","","D01",280,45.5615977,-84.7077102,28,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",5.29234668193511,"Populus",15.89,84.095388775949,"live"
"93","POGR",103,3381,"UMBS","3381","D","2019-06-09","","D01",282,45.5615563,-84.7076911,28.2,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",5.37873918162466,"Populus",15.89,85.4681655960158,"live"
