"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Plot","Species","Sample","Filename_date","Timestamp","Comments"
3,"16:48:34",191.5,0,2.49,0.0176,165,0.297,1.62,27.2,6,1.42,1,2.84,21.51,27.2,20.05,403.17,400.03,19.978,20.327,76.37,77.7,500.2,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can06_07222018","D01E","acru","can06","07222018",2018-07-22 16:45:29,"16:45:30 ; "
4,"16:48:36",192.5,0,2.46,0.0177,169,0.299,1.62,27.21,6,1.42,1,2.84,21.51,27.21,20.05,403.11,400.02,19.977,20.328,76.37,77.71,500.2,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can06_07222018","D01E","acru","can06","07222018",2018-07-22 16:45:29,"16:45:30 ; "
5,"16:48:37",193.5,0,2.47,0.0177,168,0.298,1.62,27.2,6,1.42,1,2.84,21.51,27.2,20.05,403.1,400.01,19.977,20.327,76.37,77.71,500.2,2000,0,98.42,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can06_07222018","D01E","acru","can06","07222018",2018-07-22 16:45:29,"16:45:30 ; "
1,"17:15:40",221.5,0,4.21,0.0325,184,0.497,1.48,26.29,6,1.42,1,2.84,21.48,26.29,20.06,405.68,400.39,19.233,19.818,73.63,75.87,500.3,1999,0,98.41,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can07_07222018","D01E","acru","can07","07222018",2018-07-22 17:12:11,"17:12:12 ; "
2,"17:15:41",222.5,0,4.2,0.0325,184,0.498,1.48,26.28,6,1.42,1,2.84,21.48,26.28,20.06,405.67,400.39,19.233,19.818,73.63,75.86,500.2,2000,0,98.41,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can07_07222018","D01E","acru","can07","07222018",2018-07-22 17:12:11,"17:12:12 ; "
3,"17:15:42",223.5,0,4.13,0.0322,186,0.493,1.48,26.28,6,1.42,1,2.84,21.48,26.28,20.06,405.6,400.41,19.236,19.816,73.64,75.86,500.3,2000,0,98.41,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can07_07222018","D01E","acru","can07","07222018",2018-07-22 17:12:11,"17:12:12 ; "
4,"17:15:43",224.5,0,4.06,0.0323,190,0.495,1.48,26.28,6,1.42,1,2.84,21.48,26.28,20.06,405.52,400.41,19.236,19.818,73.64,75.86,500.3,2000,0,98.41,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can07_07222018","D01E","acru","can07","07222018",2018-07-22 17:12:11,"17:12:12 ; "
5,"17:15:44",225,0,3.99,0.0324,194,0.495,1.48,26.28,6,1.42,1,2.84,21.48,26.28,20.05,405.45,400.43,19.236,19.818,73.64,75.86,500.3,2000,0,98.41,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can07_07222018","D01E","acru","can07","07222018",2018-07-22 17:12:11,"17:12:12 ; "
1,"17:19:48",187.5,0,3.36,0.0242,169,0.389,1.55,26.59,6,1.42,1,2.84,21.57,26.59,20.05,404.89,400.66,19.291,19.747,73.45,75.19,500.2,2000,0,98.4,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can08_07222018","D01E","acru","can08","07222018",2018-07-22 17:16:49,"17:16:51 ; "
2,"17:19:49",188.5,0,3.28,0.024,173,0.386,1.55,26.59,6,1.42,1,2.84,21.57,26.59,20.05,404.78,400.66,19.292,19.746,73.45,75.18,500.2,2000,0,98.4,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can08_07222018","D01E","acru","can08","07222018",2018-07-22 17:16:49,"17:16:51 ; "
